destination,rating,text,month,translation_status,failure_reason
Perhentian Island Resort,1.0,"I want to be fair. Perhaps this would have been a wonderful experience for a young family, if they are OK with very “rustic” accommodations. We are not that young family. We paid $800 ringgit per night for what we believed would be at least an adequate resort (in Kuala Lumpur, that same $800 would have more than paid for a suite in a 5-star hotel). Our expectations were not super high, since we understood that we were paying for an experience on a private island. Just clean and comfortable. Unfortunately, we got neither. Our room, #208 had a broken front door that only opened 1/3 of the way, scraping across the floor and then stopping. There were deep gouges and white paint all over the floor, which let us know this issue is ongoing. At first glance, the room looked clean (and bedding was fresh), but on further inspection we could see that only surface cleaning has ever been done. The doors were filthy, mold stains on walls, absolute filth in the pipes and shower drain and air conditioning filters. Dirty, streaked mirrors. Also, the king size bed was hard as a rock - extremely uncomfortable with a poor quality mattress. We paid an extra $100 ringgit for an “extra bed” which was just a cot - a plastic mattress. Food at PIR is bad and obscenely expensive. Piles of trash behind convenience stores and coffee shops. And overall, a deeply unpleasant sewage smell in our room and permeating the island. The good: beach is absolutely lovely. Water is crystal clear, sand is white. No trash on the beach (they hide trash behind businesses, but it’s obvious as it stinks and attracts rodents). It was a wonderful experience to swim with colorful tropical fish. That was the one and only thing I appreciated about this overpriced and horrifically maintained island.",2026-08,not_applicable,
Perhentian Island Resort,2.0,"The location is very nice but the resort is extremely neglected and swollen. Bedline stained, moulded bathroom with yellow water out of the tap, insects, dust on the conditioner and never clean bathroom (consign new toilet paper and emptying basket only for explicit request) with few towels. Very uncomfortable wooden slopes and common places not properly maintained and in some cases abandoned seeds. It is a shame because the jungle and the sea are extremely lively and full of animals but the resort is not recommended. Better to come by boat and stay in another hotel.",2026-08,translated_argos,
Perhentian Island Resort,3.0,"The location is nice, but unfortunately the room was pretty bad and definitely not what we expected. Very basic, dated and extremely overpriced for what you get. Definitely needs some serious improvements.",2026-08,not_applicable,
Perhentian Island Resort,5.0,Very beautiful beach where we discover turtles,2026-08,translated_argos,
Perhentian Island Resort,2.0,"Very small and humid rooms, cleaning and approximate maintenance.
Towels with dropper.
Bad breakfast.
Beds on the beach very few and however uncomfortable (wooden).
Uncooked and unconscious service.
In short, apart from the beach that is beautiful, you save very little.",2026-08,translated_argos,
Perhentian Island Resort,1.0,"Hotel DA INCUBO. |The tour operator had defined it as spartan... it is simply a nightmare!!!!|Today old, crumbling with cracks on the walls, holes and floors raised, dirty and neglected. |The shower without a plate, so wash the bath, very weak jet that to rinse you take hours. Smurf wash that if you're okay and doesn't lose water from the siphon, it smells like sewer in an exaggerated way every time you use it. Insects everywhere!!! Bed linen and towels LERCI, refrigerator that loses water. Safe course, a socket throughout the room including the bathroom. |The only positive note is the sea, but it is a lean consolation! !!! They're holding a treasure and they can't handle it! ! !",2026-08,translated_argos,
Perhentian Island Resort,3.0,"Beautiful resort with great potential, but service needs improvement – 7.5/10||We spent a week at this Marriott resort and overall had a very enjoyable stay. The property is beautiful, our accommodation was extremely comfortable, the views were wonderful, and we really appreciated our  villa with a private pool.||Breakfast was definitely one of the highlights — excellent variety and quality, especially the freshly! |A special mention must go to Zafirah, our Villa Host, who was absolutely wonderful: kind, attentive, always available and genuinely interested in making our stay special. We also really appreciated the lovely touches for our wedding anniversary.||That said, for a 5-star Marriott resort at this price level, there are some areas that really need improvement.||The biggest issue for us was the restaurant service. Although the staff were always friendly, service was consistently very slow and dishes for the same table rarely arrived together. On several occasions, one of us had almost finished eating before the other person’s meal arrived.|There were also some surprising operational issues. The beach bar was out of basic items, including water, for several days, which is difficult to understand at a 5-star tropical resort.||The management of sunbeds around the pool also needs attention. Guests reserve them early with towels and belongings and sometimes do not appear until hours later. We were told there is a 15–20 minute policy for unattended sunbeds, but unfortunately we never saw it being enforced.||Finally, the arrival experience could be much more polished. First impressions matter, and the transfer/check-in process did not feel particularly premium or aligned with what we expected from a resort of this category.||Overall, we would rate our experience 7.5/10. There is a lot to love here: beautiful surroundings, excellent accommodation, a great breakfast and some genuinely lovely staff. However, at this price point, the consistency of the service needs to match the quality of the resort itself.||With better restaurant coordination, attention to basic stock management, enforcement of pool policies and a more refined arrival experience, this could very easily become a 9/10 resort.",2026-08,not_applicable,
Perhentian Island Resort,2.0,"What a waste while the potential is there and the site is beautiful!
The rooms: overall dirty, the dilapidated bathroom, the cleaning (vu) is made (in 5') with a beach towel without cleaning products (this explains this), broken or unmaintained equipment. The surroundings are dirty and ns finally picked up what was hanging around the room.
Food: go eat in the hotel next door! The bins are not filled continuously, it must count 30'. We paid a buffet (×3) and there was only one tray of rice and one tray of meat, the other 10 were empty at 7:30 p.m. At the end of 40' we left, the stomach almost empty... the environment is also dirty and not engaging.

The wise management apologized and sent a team to make a complete cleanup. That's nice, but the other days: back to habits.

All this spoiled our stay (4days) which was saved by the restaurant next door and by the magnificent underwater bottoms.

It's a shame because the site has potential, it's just missing a real hotel management: check the quality of the house, keep the dining area clean, rework the buffet continuously and check the surroundings of the site to remove the waste that is in its midst.",2026-08,translated_argos,
Perhentian Island Resort,2.0,"I'm very, very, very, very mixed at this hotel.

The beach is terribly beautiful and the hotel is terribly old. I've moved from being sleek to disgust throughout my stay.

The first certainty is that when you stay there, you have to be very comfortable with wildlife: jeckos, lizards, ants, locusts, squirrels that look like rats, varans and even Malay varans. In the room, there is still a warning against all this wildlife and also against snakes. Honestly, we haven't seen one. But all these animals are omnipresent. So I spent a stay in a state of maximum alert,

Then, the room is dirty as possible, it smells of sewers and bed linen and bath linen is... pitiful. Holed, stained, yellow... I have put pictures but the general unsanitaryness of the hotel is indescribable. Beach deckchairs are wooden boards without mattresses and there are no umbrellas. If you put yourself under the palm trees, beware of the squirrels who have terrified some of them.
Finally, breakfast is very short, the undefinable coffee: oil black but absolutely no taste of coffee. The evening restaurant was truly right. There is nothing to do at night, plan an IPad and a 4/5G connection that works very well. There's no wifi.

As for the beach... Wow! Perhentian's most beautiful. We swam daily with rays, turtles, baby sharks etc.

There are plenty of people coming to the day (it's the boat parade though) And I wonder if that's not what we really have to do. Anyway.

So I wouldn't advise to go there because of the magic of the beach but to go there knowingly and paying the right price because I paid on Agoda/Booking more than 300€ at night and at that price, it's a genuine flight.",2026-08,translated_argos,
Perhentian Island Resort,5.0,"I was very afraid when I saw the comments, and I came very humble, but it was really nice. Breakfast of the restaurant is very good, especially as you like, I was not waiting here at breakfast when I saw omlet olive cheese tomatoes and cucumbers. The beach in front of the location is the world wonder, every day you see 2-3 turtles on the left side of the queen on the sea, at the same time reefs are fantastic and you can see a lot of different fish. When it comes to the room, I think the location and width of the room is fine, but we have come to us two separate bedrooms with my wife, and the rooms in the hotel were completely booked. There is a badminton area and pool on the back. I would like to put more tropical fruits than mango, coconut, unfortunately we are not so tasty in those who visit here.",2026-08,translated_argos,
Perhentian Island Resort,2.0,"Good location to relax under sunny skies.

2026 update) Understand that bed bugs could be active and unless controlled properly,…",2026-08,not_applicable,
Perhentian Island Resort,1.0,"I don't even know where to start. Rude, lazy staff, awful rooms, bad restaurant. ||The beach is kind of nice and very crowded. ||I'm sitting here on night one of 3 and seriously considering just leaving. The icing on the cake is paying premium money for a 'superior' room and then getting told there's no wifi there. The rusty screws sticking out of the walls are a nice touch too. Beautiful.",2026-08,not_applicable,
Perhentian Island Resort,4.0,The most gorgeous place i’ve ever stayed in my life the beach and ocean is beautiful and the resort is very nice. Staff are unfriendly and cold and the food really is inedible.,2026-08,not_applicable,
Perhentian Island Resort,5.0,We went there only to have access to the beach but really I recommend this place is the only place where you can do snorkeling and have a beach paradise without having to pay taxi boots 50 €,2026-08,translated_argos,
The Taaras Beach & Spa Resort,5.0,"We stayed here for two nights with my husband to celebrate our wedding anniversary, and everything was absolutely perfect! The location is incredible, with a private beach that is among the most beautiful I have seen in Malaysia (and honestly… anywhere else too). The staff were incredibly kind, welcoming and always happy to help. Our room was wonderful, with a breathtaking view. The package also included several activities that we really enjoyed, such as snorkeling with turtles and kayaking. We were also incredibly lucky to take part in a turtle hatchling release, supporting SEATRUE, an organization dedicated to protecting these beautiful animals. It was a truly emotional and unforgettable experience. The food at the restaurant was also very good, and breakfast was excellent and plentiful.
There is also the opportunity to join yoga classes, either on the beach in the morning or in the dedicated yoga space overlooking the sea. Our instructor, Huril, was incredibly kind and very knowledgeable. The classes were both relaxing and enjoyable, but also challenging in the best possible way! I highly recommend staying at this resort and truly hope to be able to come back in the future!",2026-09,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Beautiful  resort made better by excellent service. Especially good service from Guest Ambassador Saiful - very attentive with the food recommendations and preparations. Accommodating to our request for traditional food.

Really good breakfast.

Excellent Italian dinner cusisine at Marenero Restaurant. Chef Danny prepare really heartwarming Italian food.

Nadia is attentive to our requests as well",2026-09,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Assalamualaikum I would like to thank you and your team for the wonderful experience at The Taaras Beach & Spa Resort. We truly enjoyed our stay and were impressed by the beautiful surroundings, excellent service, and warm hospitality.

The staff were friendly, attentive, and always willing to assist. The beach and overall atmosphere were beautiful and made our stay very relaxing and memorable.

Please convey our appreciation to the entire team for their hard work. We look forward to returning to The Taaras again in the future. Take care n will Miss u guys.",2026-09,not_applicable,
The Taaras Beach & Spa Resort,4.0,"Nice resort with amazing staff, especially ioga teacher (haven) and scuba instructor (itham).
All staff nice and kind
Spacious room (garden suitte)
Cool gim (amazing views)
I would ask for a deeper clean service but I would defintely repeat. One of the best hotels in Malasia.",2026-09,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Love the warmth and friendly staff. Everyone ws so helpful and willing to give ideas on what to do, where and when to expect some activities. The service was top notch and not to forget the super fine and white sandy beach. The view from our room ( Cliff Premier Suite) was great overseeing the beaches and blue-greenish sea.
The only downside is there's no sunset appearances in Taaras. Overall, we're satisfied and probably will come again.",2026-09,not_applicable,
The Taaras Beach & Spa Resort,5.0,"⭐️⭐️⭐️⭐️⭐️||I had a really nice experience at Taarash Beach, especially as a solo traveler. The beach was peaceful, relaxing, and perfect for taking some time for myself. The atmosphere was beautiful, and I really enjoyed the quiet surroundings and the amazing views.||Traveling alone can sometimes feel a little overwhelming, but Taarash Beach made me feel comfortable and relaxed. It’s definitely a lovely place to visit if you want to escape the busy city and enjoy some peaceful time by the sea. 🌊✨||I would definitely love to come back again! 💙",2026-09,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Very equipped structure, spectacular beach and the possibility to go directly from the resort to make excursions. Recommended!",2026-08,translated_argos,
The Taaras Beach & Spa Resort,5.0,"The Taaras is one of the best hotels we’ve stayed at! 🌴❤️||We went island hopping, and the kids really enjoyed the activity. 🏝️🚤🐠 We had such a wonderful and memorable time together.||Beautiful place, great experience, and perfect for a family holiday. We will definitely come back again! ⭐⭐⭐⭐⭐",2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,"We had a wonderful stay at The Taaras Beach Resort & Spa. The resort is set in a truly beautiful location, surrounded by lush nature and crystal-clear water, with an amazing beach that makes Redang Island feel like a little paradise.||We really enjoyed the peaceful atmosphere, the beautiful surroundings and the variety of services and activities available at the resort. It was the perfect place to relax, enjoy the sea and make some very special memories.||A special mention goes to Hamdan Rajab, who took great care of us throughout our stay. He was always kind, friendly and helpful, and assisted us with the reservations for the different services and activities at the resort. He was always available whenever we needed anything and made everything easy and enjoyable.||Thank you to Hamdan and the whole team for such a lovely experience. We would definitely recommend The Taaras and hope to come back again in the future!",2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Truly beautiful hotel, huge and gorgeous room. Magnificent bathroom. All the staff were extremely kind—Nadia at the reception in particular was super helpful and friendly.|​Dining: Several restaurants on-site; the Asian one was really good.|​Beach & Sea: Beautiful beach and crystal-clear water, with a spot for turtle watching right nearby.|​Services: Super efficient shuttle service and everything was perfectly organized.",2026-08,not_applicable,
Perhentian Island Resort,2.0,"What a waste.... such a nice site as poorly managed...!!Yes, the site is splendid and the architecture of the hotel has potential but it is not managed at all:!1) the rooms: are generally dirty and some of the equipment dilapidated: broken bathroom furniture, bezel of the wanking toilets, unspeakable shower hose, dirty shower glass2) cleaning: jai attended the house which was made with a beach towel without any product in 5' chrono (no broom or nothing). The person passed to the next villa with the same towel.... (the beach distributed at the reception...) Restoration: the catering area is not cleaned continuously, especially in service areas. Re-scaling is random and often wait +30' before seeing the re-filled bins. So we paid for a buffet and on the 10th of the trays only 3 were filled, they were more than 30' later, when we left (the hollow belly). Same morning and noon. The solution: go and eat in the hotel next to (10' on foot) where the service is smiling and the card attractive. We had all our meals. The management, warned of our remarks, apologized and sent a cleaning team to make our room (white) it is nice and commercial but the problem is not there. It is in the non-existent controls: no one to check the cleanliness of the rooms, of the site (we ended up cleaning around our room the scattered waste) , of the dining area. This spoiled our stay that was saved by the restaurant next door and the magnificent submarine bottoms.",2026-08,translated_argos,
Perhentian Island Resort,2.0,"This hotel is a disaster. Service, cleaning, food, nothing's right. Only the location is ideal, by the sea. Small sharks, rays and fish can be seen by the water.
My advice: look for the hotels next door.",2026-08,translated_argos,
Perhentian Island Resort,3.0,"The hotel is very well located on one of the best beaches. However, for what you pay it's very expensive — they give you torn, worn-out towels, room cleaning is basically nonexistent, they just sweep a little and that's it. Above all, if you go, don't look in the corners of the rooms. It's disgusting.",2026-08,translated_manual,
Perhentian Island Resort,3.0,"Recommended for 2-3 nights but not more.

Great location, right on the beach. Pretty room and clean enough though there is a slightly unpleasant smell in the bathroom and has never been cleaned during the stay. The resort complex and rooms should be freshened and cleaned better.
The wifi does not work and there is no TV in the room. The restaurant is nothing.
With some adjustment, cleanliness, and improvements it would have a high potential.",2026-08,translated_argos,
Perhentian Island Resort,4.0,It's an amazing neighborhood. Beach and place for snorkeling. The hotel itself has a lot to improve. Very weak Internet. Bad breakfast and expensive restaurant.,2026-08,translated_argos,
Perhentian Island Resort,4.0,"Beautiful island.
We were a little against our stay, considering all the negative reviews. But the room was clean (bathroom somewhat outdated). Pool is neat, beach is nice. Snack bar also fine for lunch. Staff was very friendly and helpful to us. In short, it wasn't so bad! Bed was covered every day, clean towels and 2 bottles of water every day. We did food every night at Barat, there with 19s always good food.

Recommended: jungle trekking to other side island. Starting point is badminton field.",2026-08,translated_argos,
Perhentian Island Resort,3.0,"The beach is stunning! White sand, turquoise sea and turtles and sharks 5 meters away from the coast. The beach front bungalows have an amazing view and location. The accommodation is clean, but very basic, old and worn. The bed is comfortable and the air conditioning works. The resorts itself is very tired, breakfast was so poor I stopped going, and the staff look exhausted and totally fed up. If your priority is beach life and you are happy to explore other food options, and a simple room and bathroom are ok for you then this resort could work for you!",2026-07,not_applicable,
Perhentian Island Resort,4.0,"We spent at this resort 5 days and 4 nights. To begin I must say that we have dreamed of the Perenthian Islands for months, and I must say that they do not disappoint expectations, they are an unspoilt paradise! But we started a bit discouraged by the reviews of the various structures and after a research year we agreed to book at the PIR room beach front. Chapter location: definitely the most beautiful beach of both islands, the beach is located in Besar(large island), excellent location, turtle point 50 m from the shore. Every day we bathed in the midst of fishes of every species, races and many shark black fins who came regularly to visit us, wonderful feeling! Room Chapter: the beach front room is definitely the best of the resort, we chose the breakfast package included, the room is wooden, definitely not luxury but I would say the 3 star cheques. However it has this seafront balcony, every morning we woke up with the noise of the sea practically 30 seconds away from us. Clean room, of course you have to keep in mind that you are on a fairly wild island in Malaysia. Chapter services; the boys working at the PIR are all very kind and friendly, surely I would put more beds on the beach and maybe a more comfortable type, but what do you make of the sunbeds when you have that heavenly sand? Food Chapter: PIR breakfast was quite provided with a good international and especially Asian choice. Conclusions: our summer experience more than positive! Obviously you have to take into account that you are on a wild island, with a dream sea that definitely has nothing to envy to places like the Maldives. Needless to look for a 5 star service, here you come to be detached from the world! I highly recommend it to those who want to immerse themselves in this paradise.",2026-07,translated_argos,
The Taaras Beach & Spa Resort,5.0,"Resort staff are hospitality and friendly to welcome us at the resort’s lobby, the room is equipped with all amenities needed and we have a big room with the living room separated. Beach is wonderful with the white sand and crystal clear water. I like the beach bench under the small hut to feels the peace and calmness.",2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Special Thanks to Nadia from Taaras Guest experience for making us feel very welcome & entertain all our requests with professionalism &hospitality.1st Class Guest Experience for us.||Also a Special Thanks to Adila of Reservations, she really showed empathy & hospitality in handling out booking request.||Both Nadia & Adila are an Asset to Taaras Resort & went above their duties to make us feel at home.||Other staff were all very professional &friendly.||Resort itself is Fabulous.||Mr. Adam. (Room154 28/8/2026)",2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,lunch with mcm2,2026-08,translated_argos,
The Taaras Beach & Spa Resort,5.0,Hamdan the guest officer was such a delight to have in assisting us with anything to the resort. He provided us with excellent service and made our stay really convenient especially as we had a baby with us. TQ HAMDAN.,2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Wonderful location, some small maintenance necessary but the absolute courtesy of all the staff and the wonderful places we visited deserve a return. |Breakfast provided with everything you can imagine, very good indoor restaurants, but just outside the bar there is a local ""tractor"" from screaming",2026-08,translated_argos,
The Taaras Beach & Spa Resort,5.0,"We really enjoyed it. The resort is beautiful and is located on a magnificent beach, in our opinion the most beautiful on the island. The sea and the context are simply wonderful. || Another great strength is definitely the staff: everyone was extremely kind, friendly and helpful during the entire stay. Following a small drawback, they managed the situation in the best way and kindly offered us an upgrade in a beautiful room with sea view, a gesture we really enjoyed. |||We would like to congratulate all the staff, but a special thanks goes to Nadia, who followed us with great attention throughout the stay. Every day she made sure that everything went well, she listened to our needs and was always available to help us for any request or problem, making us feel really welcomed and pampered. |||We absolutely recommend this resort: a wonderful place, with a dream beach and an exceptional staff. We will take home a beautiful memory of this experience! ❤️",2026-08,translated_argos,
The Taaras Beach & Spa Resort,5.0,"We had a wonderful honeymoon at the Taaras Beach & Spa Resort. The location could not be better. Wonderful private beach, crystal clear water, fine sand and a very intimate feeling. The service was exceptional. The whole staff made us feel very privileged.",2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Honestly if you're thinking about it, just book it! Such a beautiful hotel, amazing views, great food and brilliant staff. Everyone was so friendly and helpful, Especially Hamdan, he was always checking in to make sure we was ok and if there was anything we needed. Thanks again for a brilliant stay. I will be back!",2026-08,not_applicable,
The Taaras Beach & Spa Resort,5.0,"Magnificent experience, spectacular island with excellent hospitality. The Resort is a bit dated but offers that familiarity that is often lost in new structures. Beautiful philosophy behind the preservation of the island.",2026-08,translated_argos,
The Taaras Beach & Spa Resort,4.0,"The taaras is located in a lovely bay, crystal clear water and white sand where it is easy to meet colorful turtle fish and small harmless sharks. For the rest the structure is beautiful but in my opinion not up to a 5 stars. The kitchen is wide, but not as international as they say. flavors are mainly Asian. The staff is very friendly and kind, the wooden bungalows are very beautiful. Among the various activities organize the excursions in front of the beach, which sincerely are easily accessible independently with a canoe at no cost. In the evening there is not much movement, a bit of live music that ends soon. Overall a beautiful place that however pays and not little.",2026-08,translated_argos,
Perhentian Island Resort,5.0,"I spent a week in this earthly paradise and left my heart really. We start with the main aspect of the structure: POSITION! The PIR, believe me, lies on the most beautiful beach of the Perhentians! Coral sand, blinding! A sea, I confirm that nothing has to envy in the Maldives! If you come here you do not need excursions! The sea in front of you will give you snorkelling exits to see turtles, shark black fins, gray coats, clown fish...and, if you are particularly lucky as I was, the Napoleon fish!
Breakfast is Asian and western with an egg station. I recommend that you consider it. The restaurant is very slow. I have always taken rice or meat: we Italians are a little complicated! There is no possibility of alcohol! If you are in abstinence go to the neighbors: at the PIR no chance. The rooms are comfortable and spacious. AC works well. Cleaning is scarce and there is hot water... but it was never a problem! WiFi only works at the reception and bad: if you need to upgrade the OS or large GB go early in the morning and/or late in the evening...
Of course... a little suitcase with you you must carry it but this sea will reward you with interests!
Redang board excursions: it is yes the most expensive but Redang is worth believing me!
Kecil: go one night to his twin on long beach. Sit on one of the many locals and choose the fish you want to eat. Then go see the fire show!

I miss you!!! !",2026-07,translated_argos,
Perhentian Island Resort,1.0,"Dirty room (telecde climat covered with finger marks, greyish sheets and badly smelling dito user towels, one can no longer see through the dressing glass of the shower, blattes in the shower, cutting down unstable toilet, rat seen on the frameworks of the dining space, restaurant not terrible at all, personal more interested by their smartphone than by their job, space to potential but not maintenance. The beach is good and the sea is warm and turquoise but pass your way.",2026-07,translated_argos,
Perhentian Island Resort,2.0,"Incredible potential - very disappointing execution. If I start with the positives, the resort is situated on an incredible beach, crystal clear sea with a simple water taxi system that can take you to a number of other beautiful locations around the island. The resort itself would be best described as neglected. Full of promise and really disappointing delivery as the rooms are less than clean, with very dated bathrooms and evidence of bed bugs that had once infested the room. The rooms are very close to the beach, making the views from the balcony a bit of a bonus. The facilities in the resort were pretty rubbish to be honest, a dirty unused pool, empty games room, one set of badminton rackets for the entire hotel to share, a karaoke room that you can pay extra to use, absolutely no daytime/evening entertainment and breakfast/dinner service that was quite shocking. I wouldn’t mind having limited service but the resort advertises WiFi, then informs you on arrival that it is only available in reception - a place you probably want to avoid as much as possible. One of the reasons to travel to SE Asia is for the food, then you are met with a cold, stale selection of buffet food. The BBQ buffet somehow doubles the price of the service whilst serving much of the same food but warmed on the grill before service. I think the lowlight of the resort however has to be the service from the reception team. The ladies appeared frankly irritated during any interaction and would best be described as less than welcoming. The laundry service was not running due to “bad water”, despite it being promoted on the room information - not sure if this was a short term or long term issue they were having.

I was unfortunate enough to suffer from a series of lacerations on my hand from a quite bizarre needlefish attack, this led to significant bleeding. The receptionists were completely uninterested in helping me, nor did they demonstrate any empathy as I bled out in reception. I was lucky enough that a paramedic guest was checking in at that time and assisted me. Bizarrely, the receptionists weren’t even enthusiastic about having the blood cleaned from the floor and it dried/remained there for the final day of our stay. Their service peaked when they asked us to return the spare roll of toilet paper that we had been using to help clean up some of the spilled blood - there is no telling what they would have wanted to do with it had we obliged, which we did not.

It is hard to describe why, but the resort feels overstaffed without ever having anyone available that can help you with any of your needs. I am yet to work out why staff were distributed in a way that felt as though they were able to enjoy each others company as opposed to meeting the needs of guests. One man in the only functioning coffee shop battled away as three members of staff sat in the other cafe unable to serve due to a lack of beans. The collection of slackers appeared offended when I proposed that one of them perhaps join him in his struggle or fetch some of his beans (I even offered to undertake this 5 minute walk for them) so they might be able to serve to share the burden - their response made me feel stupid for thinking out loud.

To summarise, if spending time on a beautiful beach supplemented by poorly maintained facilities, limited selection of gross food and staff that don’t care about you is not your thing, give this place a miss!",2026-07,not_applicable,
Perhentian Island Resort,1.0,"Where to start...
We were placed in room 228 which was separated and adjoining with room 227. The walls were so thin that one was delighted to hear all the joys and sorrows of the family next door... But the main problem is the maintenance of the bungalow. Between the moisture tasks, the smell of the pipes in the bathroom, the yellowish water coming out of the faucet and shower, the infestations of termites, etc., one feels that the main purpose of the managers is not to make a good stay for the travellers. So yes the cleaning is done (quickly) every day and the team tries to solve the problems but I think the priority is to put in a little bit of new. Breakfast is ok without any more, the resort is equipped with some pleasant services, but the real highlight is the location. It is located on the most beautiful beach on the island where you can cross sharks, rays and turtles 5 meters from the shore. But I think that the stewardship is based only on it to make such high prices because the hotel itself does not really deserve them! In short, I don't know if I can advise you this accommodation because I think it's more enjoyable and could come back cheaper to stay elsewhere on the island and enjoy their beach by taking taxi boats.",2026-07,translated_argos,
