row_index,text
134,"Buena experiencia, resort con playa privada y muchos servicios. Además, hay muchos animales en el entorno del alojamiento (monos langures, varanos o colugos). Lo único mejorable la comida del restaurante y algunas instalaciones deterioradas como las pistas de tenis, bádminton, etc."
139,"Ya había leído que en las islas Perhentian la gran mayoría de hoteles no valían lo que pagabas, pero no esperaba esto.
Este hotel, si bien está ubicado en una de las mejores playas de Pulau Besar, está viejo y mal mantenido. Es mejor quedarse en otro hotel e ir por el día a esa playa.
El motivo por el que lo elegí fue porque leí comentarios diciendo que el snorkel en esa playa era fabuloso. Y es verdad que puedes ver tortugas, pero nada más.
Las habitaciones necesitan ser renovadas: - el aire acondicionado olía muy mal, y si bien limpiaron los filtros, seguía oliendo igual. Y por las noches metía al cuarto el olor a desague que había afuera, y como hacía tanto calor, era imposible apagarlo.
- los muebles de madera están rayados y viejos.
- y lo peor fue el dispensador de papel higuienico del baño, estaba sucio y oxidado. Se notaba que no le habían pasado un trapo en años. Daba asco.
En cuanto la comida:
- el buffet desayuno estaba bien
- para cenar las opciones son malas y todas insipidas y llenss de grasas. Muchísimo mejor es ir a cenar a The Barat que está a 10 min caminando.
En resumen, no lo recomiendo para nada, no volvería."
140,"Para mi, es el mejor hotel de Perhentian. Por ubicación, la playa y el entorno.

Las habitaciones y la comida no es la mejor, pero los trabajadores son serviciales y te llevan las maletas desde el jetty hasta la habitación.

NO recomiendo los bungalós, nos cambiamos al día siguiente, no hay nada y son extremadamente incomodos.

Notas:
- solamente hay wifi en el hall"
145,"Elegir la playa de Taaras para nuestra luna de miel fue la mejor decisión que podríamos haber tomado. Nuestra llegada fue un poco complicada debido a las olas fuertes, pero la Sra. Cara nos trató maravillosamente desde el primer momento hasta el último. Todos los empleados son increíbles, y queremos dar un agradecimiento especial a Jodi, Jonathan, Hanafi, Izhak y Roffi por su excepcional amabilidad y cuidado. Para colmo, ¡nos sorprendió ver tortugas marinas justo en la playa del hotel! Estamos encantados con nuestra experiencia y realmente esperamos volver."
167,Un paraíso....
184,Magical Taaras!
233,"Estuvimos dos noches en el Resort, la verdad es súper recomendable, la ubicación es preciosa, nos alojamos en una de las suites frente prácticamente al mar, me gustaría destacar la atención del personal todos súper atentos y súper amables. Nos llevamos una muy buena experiencia de este lugar y lo recomendamos totalmente."
252,Las Malvinas son Argentina 🇦🇷
253,very good
354,como puedo contactar oara hacer una reserva en vuestro resort?
377,Una experencia unica. Fantastico. Entre de tortugas gigante y peces exoticos. Recomendable💯. Personal muy amable y buena comida.
410,"hemos estado aquí 5 días y nos ha encantado. estancia muy agradable y tranquila. el hotel ofrece una gran variedad de actividades desde buceo hasta excursiones por la jungla con guía muy profesional, experto en serpientes. Nadia y Alia han sido muy acogedoras y amables con nosotros. muchas gracias por vuestros servicios y ayuda! volveremos!"
445,"Parfait ! Les chambres spacieuses avec une vue incroyable. Le highlight des 3 nuits passés la bas: les tortues géantes!!!!! Absolument fantastiques ainsi que la variété de poissons tropicaux. Pour la plongée l expérience avec Wendy était top! Nous recommandons!
Les repas étaient bons et le staff au top!
Merci"
449,"Vine desde el otro lado de la isla, a traves del jungle trekking. Me encontré con unos huespedes que estaban alojados ahí y me invitaron a entrar con ellos al restaurante.
El guardia de seguridad no me dejó pasar, a pesar de venir acompañada de huespedes alojados y decirle que venia a consumir al restaurante."
499,"Hemos pasado unos días estupendos de buceo con un gran equipo, los barcos están bien y los guias son extraordinarios, no le pongo 5 estrellas porque a la hora de la comida se llena de gente asíatica que arrasan con todo a primerísima hora y ya no se reponen muchas cosas, sobre todo la fruta más especial, hemos disfrutado todo excepto las horas de comer y cenar. Si haces un buceo nocturno tienes que avisar porque te quedas sin nada de cena a pesar de llegar antes del horario de cierre. El desayuno es también bastante flojo no hay yogur por ejemplo, el pan es malísimo y el único queso que ponen es penoso."
550,Estás en el medio de la Nada. Es una experiencia única. Las tortugas gigantes en la noche son bellísima. 💯 Recomendado
580,Amazing service
612,Good.
693,Awesome
707,Best for snorkeling 🤿!
770,Great view
793,Very nice experience
829,"Una experiencia para probar. Sólo recomendable si te gusta la comida asiática (no hay mucho más donde elegir) y si es para hacer el paquete buceador (para snorkeling no hay mucho que hacer y no hay más actividades en el resort).

Apartado de mundo, perfecto para desconectar.
El servicio, excelente y amable."
901,Calidad indiscutible en una playa de ensueño..
904,Good
912,Very smelly n dirty
938,"El resort es correcto pero un poco multitudinario para mi gusto. Personalmente, me he sentido un poco atrapada, pues estás en medio del mar... en medio de la nada. Por lo tanto tan sólo puedes apuntarte para hacer buceo con o sin botellas.
Tamppco está pensado para bañarse en el mar y descansar. Si te bañas no puedes tenderte al sol, Solo hay tumbonas en las habitaciones.
También se ofrece ir a una Islita cercana llamada Mabul, a 10 minutos en lancha desde el resort. No gran cosa... un pequeño pueblo sin mucho atractivo visto en 15 minutos.
El agua color turquesa y los peces y fauna de vivos colores hace que sólo pueda recomendar, este resort a  amantes incondicionales del buceo, pues es lo único que se puede hacer."
993,"Les chambres sont très sales!  la salle de bain qui dégage une odeur nauséabonde ! les toiles d'araignées un peux partout… le club snorkeling est nuuuuul! le restaurant une vraie catastrophe! seule point positif l'emplacement, sinon ya des hôtels juste à coté beaucoup mieux….."
996,"Lo mejor del hotel es la ubicación, en la mejor playa de todas las islas con vistas increíbles. Aguas cristalinas, punto de encuentro de tortugas, pequeños tiburones y mantas rayas, aparte una gran fauna marina y diferentes variedades de peces impresionante y todo justo en frente de la habitación. Como punto negativo es lo antiguo del hotel, que necesita una renovación y un buen lavado de cara. También como punto negativo es el restaurante, quizás el de peor calidad de todos los que hay de otros hoteles. Por lo general lo recomiendo solo por esta en la mejor playa de todo perentians."
997,"El hotel está bien sin pretensiones …habitaciones amplias y limpias con un porche muy agradable para salir a leer o tomar algo
El baño muy pequeño pero limpio
Desayuno correcto pero nefasto restaurante para comidas y cenas que eran comida rápida mala y cara
Sin duda el punto fuerte del hotel es su ubicación, la playa de las tortugas que es la mejor de todas las Perhentian. Solo por eso lo recomendaría sin duda , porque al final no hay tanta oferta hotelera y este cumple los mínimos requisitos y encima estas en la mejor playa
Aconsejo ir a comer al coral View q está al lado"
1001,so rude dengan customer
1034,"La ubicación y la playa delante del hotel es la MEJOR DE LA ISLA sin duda, esa es la parte positiva. Lo negativo:

1- El restaurante del hotel es MUY mejorable, los precios son un poco mas elevados que en otras zonas pero no pasaría absolutamente nada si la comida estuviera bien, pero es que no lo esta (a excepcion de algún plato concreto). Se nota que nadie controla nada y que no hay un jefe vigilando. El desayuno es básico pero correcto.

2- Las habitaciones SON LA PEOR PARTE, el mantenimiento de estas es NULO. Paredes, armarios, suelo todo desgastado y viejo. Si fuera solo eso, la puntuación sería mayor pero no, la LIMPIEZA DEBEN IMPLEMENTARLA, no hay mosquiteras en las camas, ayer por la noche tuvimos que matar sin exagerar 15 miniinsectos que no sé decir que eran, parecian minimosquitos. Teniendo en cuenta que lo hemos tenido todo siempre cerrado y cerrabamos la puerta enseguida, se entiende que estás en la selva y habra bichos pero no en tal cantidad, deben implementar medidas para que esto no pase, pagamos 113€ (por la habitación estándar, no cerca del mar) por noche, no 30€. Y bueno ya los que nos dejo boquiabiertos fue encontrar una especie de arenilla debajo de la cama en gran cantidad, tras investigar un poco parece que son excrementos de termita NO ESTOY SEGURA pero arena no era. En conclusión, no duermes agusto.

3- El servicio: si que es cierto nos encontramos personas agradables, había otras que no se caracterizaban por su amabilidad.

No se si es una situación aislada o no, ya que no hemos estado en otros hoteles de esta isla, no se si es frecuente pero estuvimos en Ombak Resort (en Kecil) y mucho mejor, tanto restaurante como las habitaciones y la atención."
1035,"La playa es un paraíso, pero el resort es un infierno.

Habitaciones sucias, sin limpieza real (solo cambian toallas, ni reponen papel higiénico ni agua), instalaciones viejas y llenas de humedad. El restaurante es caótico: no te atienden, la comida es pésima y cara, y no sirven alcohol (algo que no se avisa). El centro de buceo incapaz de ofrecer ni siquiera un instructor privado.

Terminamos salvando nuestras vacaciones en el resort vecino The Barat, donde sí nos atendieron bien y pude bucear con un instructor privado excelente.

Conclusión: este hotel vive solo de su ubicación. La playa es única, pero el “resort” está en estado de abandono y arruina la experiencia."
1047,"Se definen como un hotel resort y lo único que son es un puñado de habitaciones viejas delante de una playa turquesa, con unos servicios absolutamente deplorables. Este lugar fue la mayor decepción de mi viaje.||La Ilusión de la Playa Paradisíaca||||A primera vista, la playa puede parecer un paraíso, pero la realidad es otra. A pesar de tener agua turquesa, el entorno marino es una completa decepción. No hay arrecife de coral vivo; todo es arena de coral muerto sin apenas peces a la vista. Si buscas hacer snorkel o bucear, tienes que nadar a una profundidad extrema para, con suerte, encontrar una tortuga.||||Habitaciones y Mantenimiento: Viejas y Sucias||Las habitaciones son viejas y están en un estado de abandono total, y nada justifica el precio. La limpieza es inexistente: el personal no repuso el papel higiénico y las condiciones de la habitación eran inaceptables. En el baño encontramos moho en las juntas y grifos llenos de cal, además de manchas de humedad en el techo. Fuera, el panorama era desolador, con montones de basura y escombros acumulados por el lugar.||||Servicios: Inexistentes y Decepcionantes||El servicio, en general, es pésimo. El personal de recepción es poco amable y no da información. Pero lo más grave fue el centro de buceo, que era una de las razones principales para nuestra visita. Fuimos a preguntar para reservar un día privado y dos inmersiones, y simplemente nos dijeron que no era posible, lo que arruinó la experiencia.||||La Comida: Un Auténtico Fraude||El restaurante es un capítulo aparte. El buffet del desayuno es pobre y limitado, y la comida es tan mala que tuvimos que ir a comer a restaurantes cercanos. Los precios son desorbitados para la bajísima calidad que ofrecen. Además, para los futuros huéspedes, es importante saber que el hotel no sirve bebidas alcohólicas.||Conclusión||||No te dejes engañar por el título de ""resort"". Este lugar carece de todo lo que promete: ni limpieza, ni buen servicio, ni buena comida, ni un arrecife vivo. Si valoras una experiencia de calidad, te recomiendo encarecidamente que busques otro hotel."
1051,"Nos alojamos en una de las habitaciones a pie de playa. La vista es impresionante, el agua es cristalina y puedes escuchar las olas del mar desde la cama. Sin embargo, el interior deja mucho que desear. Las sábanas tenían manchas, los muebles son muy antiguos y del baño salen insectos cada vez que usas el WC o la ducha. Da una impresión muy anticuada y sucia. El personal del restaurante no es de lo mas amable pero la comida es comestible. Los manteles quizá lleven años sin lavarse..."
1078,"Hotel muy bien ubicado, con excelente playa paradisíaca. Lástima los barcos que van y vienen... restaurante con bufete y carta correctos. Habitación... nos tocó la Deluxe Heaven... es una pedazo m... horrible... da mucha grima... suerte que el sitio es preciso."
1116,"Hotel que en su momento tuvo que estar genial pero actualmente está desactualizado y dejado de la mano de dios. El buffet es lamentable, las hormigas corren por encima de la comida. Las habitaciones, están bien pero nosotros, encontramos salamandras dentro de la cabaña, la segunda noche sufrimos un ataque de chinches. Es muy caro para lo que es. Se aprovechan que es lo que hay, si quieres bien y si no pues también.
Una pena xq la ubicación es ideal y los huéspedes podrían salir muy contentos."
1140,great to snorkelling here
1160,Very good
1188,funnnnn forr family time
